Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
0.326,0.02,0.326,0.0,0.326,0.01,0.326,0.01,0.326,-0.01,0.326,0.0,0.326,-0.01,0.326,0.01,0.326,0.01
0.328,0.02,0.328,0.03,0.328,0.02,0.328,-0.01,0.328,0.0,0.328,0.0,0.328,0.0,0.328,0.0,0.328,0.0
0.33,0.01,0.33,0.01,0.33,0.01,0.33,0.01,0.33,-0.01,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.02
0.332,0.01,0.332,0.01,0.332,0.01,0.332,0.0,0.332,0.0,0.332,0.0,0.332,-0.01,0.332,0.0,0.332,0.02
0.334,0.01,0.334,0.03,0.334,0.01,0.334,0.0,0.334,-0.01,0.334,0.0,0.334,0.0,0.334,0.01,0.334,0.01
0.336,0.01,0.336,0.01,0.336,0.01,0.336,0.01,0.336,-0.01,0.336,0.0,0.336,0.01,0.336,0.0,0.336,0.01
0.338,0.01,0.338,0.02,0.338,0.0,0.338,0.01,0.338,-0.01,0.338,0.0,0.338,0.0,0.338,0.0,0.338,0.02
0.34,0.01,0.34,0.01,0.34,0.01,0.34,0.02,0.34,0.0,0.34,0.01,0.34,0.0,0.34,0.0,0.34,0.01
0.342,0.01,0.342,0.01,0.342,0.01,0.342,0.01,0.342,-0.01,0.342,0.0,0.342,0.0,0.342,0.01,0.342,0.0
0.344,0.02,0.344,0.03,0.344,0.01,0.344,0.01,0.344,-0.01,0.344,0.0,0.344,0.01,0.344,0.01,0.344,0.0
0.346,0.01,0.346,0.02,0.346,0.0,0.346,0.01,0.346,-0.01,0.346,0.01,0.346,-0.01,0.346,0.0,0.346,0.0
0.348,0.02,0.348,0.02,0.348,0.0,0.348,0.0,0.348,0.0,0.348,0.0,0.348,0.0,0.348,0.0,0.348,0.01
0.35,0.02,0.35,0.01,0.35,0.01,0.35,0.01,0.35,-0.01,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0
0.352,0.01,0.352,0.02,0.352,0.0,0.352,0.0,0.352,-0.01,0.352,0.01,0.352,0.0,0.352,0.0,0.352,-0.01
0.354,0.01,0.354,0.02,0.354,0.0,0.354,0.0,0.354,-0.01,0.354,0.01,0.354,0.0,0.354,0.0,0.354,0.0
0.356,0.02,0.356,0.03,0.356,0.0,0.356,0.01,0.356,0.0,0.356,0.01,0.356,0.0,0.356,0.0,0.356,0.0
0.358,0.02,0.358,0.02,0.358,0.01,0.358,0.01,0.358,0.0,0.358,0.01,0.358,0.01,0.358,0.0,0.358,0.0
0.36,0.02,0.36,0.02,0.36,0.02,0.36,0.01,0.36,-0.01,0.36,0.0,0.36,0.0,0.36,0.0,0.36,0.01
0.362,0.02,0.362,0.03,0.362,0.01,0.362,0.01,0.362,-0.01,0.362,0.0,0.362,0.0,0.362,0.0,0.362,0.01
