Time (s) Control 3,Force (N) Control 3
1.2060000000000013,0.0
1.2080000000000002,-0.01
1.2100000000000009,-0.01
1.2119999999999995,-0.01
1.2140000000000004,-0.01
1.216000000000001,0.0
1.218,-0.01
1.2200000000000006,0.0
1.2220000000000013,0.0
1.2240000000000002,0.0
1.2260000000000009,0.0
1.2279999999999998,0.0
1.2300000000000004,0.0
1.232000000000001,0.0
1.234,0.01
1.2360000000000009,0.01
1.238000000000001,0.01
1.2400000000000002,0.0
1.2420000000000009,0.0
1.2439999999999998,0.01
1.2460000000000004,0.01
1.248000000000001,0.0
1.25,0.0
1.252000000000001,0.0
1.2540000000000011,0.0
1.2560000000000002,0.0
1.258000000000001,0.0
1.2599999999999998,0.0
1.2620000000000005,0.01
1.2640000000000011,0.0
1.266,0.0
1.268000000000001,0.0
1.2700000000000014,-0.01
1.2720000000000002,0.01
1.274000000000001,0.02
1.2759999999999998,-0.01
1.2780000000000005,0.0
1.2800000000000011,0.0
1.282,0.0
1.2840000000000007,0.0
1.2860000000000014,0.01
1.2880000000000005,0.0
1.290000000000001,0.0
1.2919999999999998,0.0
1.2940000000000005,0.01
1.2960000000000012,0.0
1.298,0.0
1.3000000000000007,0.0
1.3020000000000014,-0.01
1.3040000000000005,0.0
1.306000000000001,0.0
1.3079999999999998,0.0
1.3100000000000005,-0.01
1.3120000000000012,-0.01
1.314,0.0
1.3160000000000007,-0.02
1.3179999999999996,-0.02
1.3200000000000005,-0.02
1.322000000000001,-0.01
1.3239999999999998,-0.01
1.3260000000000003,-0.01
1.3280000000000012,-0.01
1.33,-0.01
1.3320000000000007,-0.01
1.3339999999999996,0.0
1.3360000000000003,-0.01
1.338000000000001,0.0
1.34,0.0
1.3420000000000003,-0.01
1.3440000000000012,0.0
1.346,0.0
1.3480000000000008,0.0
1.3499999999999996,0.0
1.3520000000000003,0.0
1.354000000000001,-0.01
1.356,0.0
1.3580000000000003,0.0
1.3600000000000012,0.0
1.362,0.0
1.3640000000000008,0.0
1.3659999999999997,0.0
1.3680000000000003,0.0
1.370000000000001,0.0
1.372,0.0
1.3740000000000006,0.0
1.3760000000000012,0.0
1.378,0.0
1.3800000000000008,0.01
1.3819999999999997,0.01
1.3840000000000003,0.0
